category,email,item_id,item_name,item_type,Sum of line_amount_cad,Sum of quantity,Sum of time_spent_min,Sum of total_bill_amount,Year,Quarter,Month,Day,transaction_id,Sum of unit_price_cad
Air Hockey,aiden.park48@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,134,18.99,2025,Qtr 2,May,5,T002154,9
Air Hockey,aiden.park48@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,103,121.73,2025,Qtr 3,August,2,T003348,9
Air Hockey,aiden.smith493@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,115,45.97,2025,Qtr 3,July,2,T002914,9
Air Hockey,aiden.smith493@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,68,69.45,2025,Qtr 3,August,22,T003649,9
Air Hockey,alexander.johnson349@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,122,181.75,2025,Qtr 2,April,5,T001784,9
Air Hockey,alexander.johnson349@outlook.com,E007,Air Hockey 30 mins,entertainment,27,3,516,514.23,2025,Qtr 3,September,8,T003923,27
Air Hockey,alexander.lau9@hotmail.com,E007,Air Hockey 30 mins,entertainment,9,1,119,21.49,2025,Qtr 2,June,6,T002521,9
Air Hockey,alexander.lau9@hotmail.com,E007,Air Hockey 30 mins,entertainment,9,1,78,88.91,2025,Qtr 3,August,30,T003785,9
Air Hockey,alexander.park254@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,114,67.46,2025,Qtr 1,March,5,T001432,9
Air Hockey,alexander.park254@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,30,63.45,2025,Qtr 2,April,3,T001773,9
Air Hockey,alexander.park254@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,175,141.95,2025,Qtr 2,June,4,T002511,9
Air Hockey,alexander.park254@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,77,129.52,2025,Qtr 2,June,14,T002655,9
Air Hockey,alexander.patel159@hotmail.com,E007,Air Hockey 30 mins,entertainment,9,1,61,121.01,2024,Qtr 4,December,1,T000403,9
Air Hockey,alexander.patel159@hotmail.com,E007,Air Hockey 30 mins,entertainment,9,1,100,163.92,2025,Qtr 2,June,8,T002550,9
Air Hockey,alexander.patel389@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,55,34.98,2025,Qtr 1,March,3,T001412,9
Air Hockey,alexander.su258@hotmail.com,E007,Air Hockey 30 mins,entertainment,18,2,106,327.22,2025,Qtr 2,June,18,T002710,18
Air Hockey,alexander.taylor405@gmail.com,E007,Air Hockey 30 mins,entertainment,27,3,555,407.73,2025,Qtr 1,February,10,T001225,27
Air Hockey,alexander.taylor405@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,47,71.93,2025,Qtr 3,July,20,T003159,9
Air Hockey,alexander.taylor405@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,87,127.22,2025,Qtr 4,October,2,T004189,9
Air Hockey,alexander.white134@gmail.com,E007,Air Hockey 30 mins,entertainment,36,4,196,639.72,2025,Qtr 3,July,27,T003262,36
Air Hockey,alexander.wilson223@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,98,114.46,2025,Qtr 3,July,28,T003298,9
Air Hockey,alexander.wilson223@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,48,60.44,2025,Qtr 3,August,26,T003718,9
Air Hockey,amelia.johnson273@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,87,94.25,2025,Qtr 1,February,10,T001230,9
Air Hockey,amelia.johnson273@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,154,90.94,2025,Qtr 2,April,13,T001886,9
Air Hockey,amelia.li361@yahoo.com,E007,Air Hockey 30 mins,entertainment,18,2,126,418.52,2025,Qtr 1,February,26,T001363,18
Air Hockey,amelia.li361@yahoo.com,E007,Air Hockey 30 mins,entertainment,9,1,117,163.6,2025,Qtr 2,April,15,T001909,9
Air Hockey,amelia.liu131@yahoo.com,E007,Air Hockey 30 mins,entertainment,9,1,184,57.44,2025,Qtr 1,January,1,T000874,9
Air Hockey,amelia.liu131@yahoo.com,E007,Air Hockey 30 mins,entertainment,18,2,116,92.94,2025,Qtr 2,June,23,T002787,9
Air Hockey,amelia.martin461@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,88,86.46,2025,Qtr 2,May,19,T002330,9
Air Hockey,amelia.nguyen311@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,103,60.45,2024,Qtr 4,November,2,T000062,9
Air Hockey,amelia.rodriguez86@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,138,59.77,2025,Qtr 2,June,13,T002622,9
Air Hockey,amelia.rodriguez86@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,132,96.45,2025,Qtr 4,October,13,T004338,9
Air Hockey,amelia.zhang308@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,85,60.47,2025,Qtr 2,April,21,T001974,9
Air Hockey,amelia.zhang308@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,143,283.66,2025,Qtr 3,July,10,T003017,9
Air Hockey,amelia.zhang308@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,106,125.73,2025,Qtr 3,August,5,T003408,9
Air Hockey,aria.anderson151@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,155,236.71,2025,Qtr 1,March,14,T001534,9
Air Hockey,aria.anderson151@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,45,98.74,2025,Qtr 2,April,15,T001910,9
Air Hockey,aria.garcia13@hotmail.com,E007,Air Hockey 30 mins,entertainment,9,1,201,84.41,2024,Qtr 4,December,31,T000858,9
Air Hockey,aria.garcia13@hotmail.com,E007,Air Hockey 30 mins,entertainment,18,2,160,304.72,2025,Qtr 2,June,3,T002487,18
Air Hockey,aria.garcia364@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,91,78.22,2024,Qtr 4,October,30,T000033,9
Air Hockey,aria.garcia364@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,38,39.48,2024,Qtr 4,December,21,T000695,9
Air Hockey,aria.garcia364@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,97,15.98,2024,Qtr 4,December,25,T000765,9
Air Hockey,aria.garcia364@icloud.com,E007,Air Hockey 30 mins,entertainment,18,2,92,96.44,2025,Qtr 2,May,10,T002207,9
Air Hockey,aria.gonzalez193@hotmail.com,E007,Air Hockey 30 mins,entertainment,9,1,70,155.21,2025,Qtr 3,July,14,T003082,9
Air Hockey,aria.huang253@yahoo.com,E007,Air Hockey 30 mins,entertainment,9,1,81,103.76,2025,Qtr 3,July,29,T003302,9
Air Hockey,aria.huang253@yahoo.com,E007,Air Hockey 30 mins,entertainment,9,1,65,67.46,2025,Qtr 3,August,24,T003673,9
Air Hockey,aria.huang253@yahoo.com,E007,Air Hockey 30 mins,entertainment,9,1,123,72.44,2025,Qtr 3,August,26,T003711,9
Air Hockey,aria.khan113@outlook.com,E007,Air Hockey 30 mins,entertainment,18,2,117,125.72,2025,Qtr 2,May,13,T002243,9
Air Hockey,aria.lau174@yahoo.com,E007,Air Hockey 30 mins,entertainment,9,1,160,74.75,2025,Qtr 1,February,7,T001184,9
Air Hockey,aria.lau174@yahoo.com,E007,Air Hockey 30 mins,entertainment,9,1,62,47.48,2025,Qtr 3,September,6,T003890,9
Air Hockey,aria.lau174@yahoo.com,E007,Air Hockey 30 mins,entertainment,9,1,91,53.47,2025,Qtr 4,October,13,T004324,9
Air Hockey,aria.nowak10@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,136,63.45,2025,Qtr 2,June,13,T002623,9
Air Hockey,aria.nowak10@icloud.com,E007,Air Hockey 30 mins,entertainment,18,2,119,20.99,2025,Qtr 3,July,3,T002926,9
Air Hockey,aria.nowak441@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,109,180.13,2025,Qtr 2,June,30,T002899,9
Air Hockey,aria.nowak441@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,70,53.47,2025,Qtr 3,July,19,T003137,9
Air Hockey,aria.nowak441@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,115,101.94,2025,Qtr 3,September,28,T004154,9
Air Hockey,aria.tremblay406@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,89,44.97,2025,Qtr 1,February,17,T001285,9
Air Hockey,aria.tremblay406@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,34,35.47,2025,Qtr 3,August,30,T003776,9
Air Hockey,aria.tremblay406@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,84,158.21,2025,Qtr 3,September,8,T003922,9
Air Hockey,ava.liu81@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,79,65.26,2025,Qtr 3,August,30,T003791,9
Air Hockey,ava.smith409@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,112,63.97,2025,Qtr 3,August,29,T003757,9
Air Hockey,ava.smith409@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,82,78.44,2025,Qtr 4,October,5,T004243,9
Air Hockey,ava.thompson298@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,82,113.96,2024,Qtr 4,December,18,T000663,9
Air Hockey,ava.thompson298@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,38,137.39,2025,Qtr 3,September,24,T004097,9
Air Hockey,avery.brown176@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,50,123.91,2024,Qtr 4,December,18,T000661,9
Air Hockey,avery.brown176@icloud.com,E007,Air Hockey 30 mins,entertainment,27,3,408,421.26,2025,Qtr 3,September,13,T003974,27
Air Hockey,avery.brown176@icloud.com,E007,Air Hockey 30 mins,entertainment,18,2,240,181.9,2025,Qtr 3,September,15,T003996,18
Air Hockey,avery.chow431@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,117,86.94,2024,Qtr 4,November,23,T000305,9
Air Hockey,avery.chow431@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,84,30.98,2025,Qtr 2,April,7,T001819,9
Air Hockey,avery.chow431@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,127,63.77,2025,Qtr 3,August,27,T003737,9
Air Hockey,avery.khan192@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,157,87.41,2024,Qtr 4,November,23,T000302,9
Air Hockey,avery.lee137@outlook.com,E007,Air Hockey 30 mins,entertainment,18,2,230,306.84,2025,Qtr 3,August,25,T003704,18
Air Hockey,avery.su423@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,81,129.29,2025,Qtr 2,May,6,T002162,9
Air Hockey,avery.su423@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,81,45.47,2025,Qtr 2,June,24,T002799,9
Air Hockey,avery.wilson142@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,113,181.89,2024,Qtr 4,November,4,T000080,9
Air Hockey,avery.wilson142@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,97,125.93,2025,Qtr 2,June,25,T002817,9
Air Hockey,avery.wilson142@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,90,146.24,2025,Qtr 4,October,6,T004260,9
Air Hockey,benjamin.anderson24@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,94,79.47,2025,Qtr 2,April,9,T001839,9
Air Hockey,benjamin.anderson24@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,91,81.93,2025,Qtr 2,May,4,T002141,9
Air Hockey,benjamin.anderson24@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,119,165.9,2025,Qtr 3,August,12,T003510,9
Air Hockey,benjamin.lam53@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,107,78.97,2025,Qtr 2,May,27,T002412,9
Air Hockey,benjamin.lam53@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,171,98.93,2025,Qtr 3,September,3,T003852,9
Air Hockey,benjamin.lam53@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,131,44.97,2025,Qtr 3,September,23,T004094,9
Air Hockey,benjamin.lau498@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,128,152.26,2025,Qtr 3,September,12,T003960,9
Air Hockey,benjamin.lopez376@yahoo.com,E007,Air Hockey 30 mins,entertainment,9,1,102,80.42,2025,Qtr 3,August,8,T003438,9
Air Hockey,benjamin.lopez376@yahoo.com,E007,Air Hockey 30 mins,entertainment,18,2,302,240.02,2025,Qtr 3,August,28,T003753,18
Air Hockey,benjamin.nguyen74@icloud.com,E007,Air Hockey 30 mins,entertainment,18,2,276,290.74,2025,Qtr 1,January,11,T000949,18
Air Hockey,benjamin.nguyen74@icloud.com,E007,Air Hockey 30 mins,entertainment,18,2,40,84.43,2025,Qtr 3,July,20,T003160,9
Air Hockey,benjamin.park25@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,173,65.94,2024,Qtr 4,November,7,T000105,9
Air Hockey,benjamin.patel42@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,118,92.45,2025,Qtr 1,March,20,T001601,9
Air Hockey,benjamin.patel42@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,85,107.91,2025,Qtr 3,August,15,T003544,9
Air Hockey,benjamin.su470@hotmail.com,E007,Air Hockey 30 mins,entertainment,9,1,132,158.89,2025,Qtr 3,July,9,T003006,9
Air Hockey,benjamin.thompson245@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,112,86.45,2024,Qtr 4,November,19,T000253,9
Air Hockey,benjamin.thompson245@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,85,139.43,2025,Qtr 2,April,17,T001930,9
Air Hockey,benjamin.thompson245@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,139,111.2,2025,Qtr 2,May,11,T002222,9
Air Hockey,benjamin.wilson14@hotmail.com,E007,Air Hockey 30 mins,entertainment,9,1,72,160.46,2024,Qtr 4,November,18,T000244,9
Air Hockey,benjamin.wilson14@hotmail.com,E007,Air Hockey 30 mins,entertainment,9,1,95,111.95,2025,Qtr 2,June,9,T002584,9
Air Hockey,benjamin.wilson14@hotmail.com,E007,Air Hockey 30 mins,entertainment,18,2,136,83.95,2025,Qtr 2,June,24,T002796,9
Air Hockey,camila.chan443@hotmail.com,E007,Air Hockey 30 mins,entertainment,9,1,59,150.91,2025,Qtr 3,July,29,T003314,9
Air Hockey,camila.chan443@hotmail.com,E007,Air Hockey 30 mins,entertainment,9,1,157,27.47,2025,Qtr 3,August,6,T003417,9
Air Hockey,camila.chan443@hotmail.com,E007,Air Hockey 30 mins,entertainment,18,2,208,208.86,2025,Qtr 4,October,7,T004263,18
Air Hockey,camila.chen115@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,94,119.74,2025,Qtr 1,March,29,T001716,9
Air Hockey,camila.patel33@yahoo.com,E007,Air Hockey 30 mins,entertainment,9,1,103,30.57,2025,Qtr 2,April,26,T002029,9
Air Hockey,camila.roy221@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,99,92.44,2025,Qtr 4,October,27,T004485,9
Air Hockey,carter.gonzalez338@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,83,53.77,2025,Qtr 1,February,8,T001198,9
Air Hockey,carter.gonzalez338@gmail.com,E007,Air Hockey 30 mins,entertainment,18,2,170,140.52,2025,Qtr 2,June,11,T002607,18
Air Hockey,carter.gonzalez338@gmail.com,E007,Air Hockey 30 mins,entertainment,27,3,576,252.57,2025,Qtr 2,June,20,T002738,27
Air Hockey,carter.gonzalez338@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,147,17.49,2025,Qtr 3,August,14,T003536,9
Air Hockey,carter.kim97@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,142,101.45,2025,Qtr 3,July,19,T003135,9
Air Hockey,carter.liu164@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,101,51.96,2025,Qtr 1,February,22,T001319,9
Air Hockey,carter.liu164@outlook.com,E007,Air Hockey 30 mins,entertainment,18,2,190,561.08,2025,Qtr 1,March,29,T001717,18
Air Hockey,carter.patel6@yahoo.com,E007,Air Hockey 30 mins,entertainment,9,1,101,124.4,2025,Qtr 2,May,7,T002178,9
Air Hockey,carter.roy463@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,81,96.75,2025,Qtr 1,February,2,T001139,9
Air Hockey,carter.roy463@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,89,232.46,2025,Qtr 1,February,17,T001282,9
Air Hockey,carter.white124@yahoo.com,E007,Air Hockey 30 mins,entertainment,9,1,121,95.49,2025,Qtr 1,February,24,T001341,9
Air Hockey,carter.zhang403@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,81,30.77,2024,Qtr 4,November,10,T000169,9
Air Hockey,carter.zhang403@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,127,83.98,2024,Qtr 4,December,9,T000523,9
Air Hockey,carter.zhang403@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,126,245.19,2025,Qtr 2,June,15,T002672,9
Air Hockey,carter.zhang403@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,95,71.46,2025,Qtr 3,July,4,T002940,9
Air Hockey,charlotte.khan313@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,109,149.71,2024,Qtr 4,November,10,T000156,9
Air Hockey,charlotte.khan313@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,126,91.48,2024,Qtr 4,December,18,T000665,9
Air Hockey,charlotte.khan313@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,121,32.49,2025,Qtr 1,February,24,T001350,9
Air Hockey,charlotte.lam401@hotmail.com,E007,Air Hockey 30 mins,entertainment,18,2,374,374.58,2025,Qtr 2,May,14,T002258,18
Air Hockey,charlotte.liu453@yahoo.com,E007,Air Hockey 30 mins,entertainment,9,1,91,166.92,2024,Qtr 4,December,22,T000726,9
Air Hockey,charlotte.liu453@yahoo.com,E007,Air Hockey 30 mins,entertainment,9,1,116,65.42,2025,Qtr 2,June,27,T002845,9
Air Hockey,charlotte.liu453@yahoo.com,E007,Air Hockey 30 mins,entertainment,9,1,102,40.13,2025,Qtr 3,August,9,T003455,9
Air Hockey,charlotte.liu453@yahoo.com,E007,Air Hockey 30 mins,entertainment,9,1,105,248.96,2025,Qtr 3,September,12,T003964,9
Air Hockey,charlotte.liu453@yahoo.com,E007,Air Hockey 30 mins,entertainment,9,1,84,115.46,2025,Qtr 4,October,20,T004400,9
Air Hockey,charlotte.thompson492@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,122,32.47,2024,Qtr 4,December,27,T000782,9
Air Hockey,charlotte.thompson492@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,107,73.45,2025,Qtr 1,January,13,T000961,9
Air Hockey,charlotte.thompson492@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,102,86.21,2025,Qtr 3,September,2,T003835,9
Air Hockey,charlotte.thompson492@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,66,57.97,2025,Qtr 4,October,16,T004353,9
Air Hockey,charlotte.thompson492@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,101,160.89,2025,Qtr 4,October,24,T004442,9
Air Hockey,charlotte.tremblay318@yahoo.com,E007,Air Hockey 30 mins,entertainment,9,1,62,80.23,2024,Qtr 4,November,1,T000051,9
Air Hockey,charlotte.tremblay318@yahoo.com,E007,Air Hockey 30 mins,entertainment,9,1,76,77.48,2025,Qtr 2,June,3,T002496,9
Air Hockey,chloe.chen344@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,52,26.77,2024,Qtr 4,November,7,T000110,9
Air Hockey,chloe.chen344@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,110,156.69,2025,Qtr 1,January,17,T000994,9
Air Hockey,chloe.chen344@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,115,28.78,2025,Qtr 2,April,1,T001747,9
Air Hockey,chloe.kim399@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,118,81.45,2025,Qtr 2,June,7,T002542,9
Air Hockey,chloe.kim399@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,69,162.86,2025,Qtr 3,July,8,T002994,9
Air Hockey,chloe.kim399@outlook.com,E007,Air Hockey 30 mins,entertainment,18,2,382,226.92,2025,Qtr 3,August,7,T003425,18
Air Hockey,chloe.li177@hotmail.com,E007,Air Hockey 30 mins,entertainment,9,1,65,56.44,2025,Qtr 3,August,26,T003715,9
Air Hockey,chloe.nowak316@gmail.com,E007,Air Hockey 30 mins,entertainment,18,2,92,178.95,2025,Qtr 1,February,16,T001272,9
Air Hockey,chloe.nowak316@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,138,18.27,2025,Qtr 1,March,27,T001685,9
Air Hockey,chloe.nowak316@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,50,46.99,2025,Qtr 2,April,18,T001940,9
Air Hockey,chloe.nowak316@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,84,103.93,2025,Qtr 3,August,18,T003595,9
Air Hockey,chloe.nowak316@gmail.com,E007,Air Hockey 30 mins,entertainment,18,2,354,437.78,2025,Qtr 3,September,14,T003992,18
Air Hockey,chloe.park89@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,97,100.42,2025,Qtr 2,April,10,T001854,9
Air Hockey,chloe.rodriguez340@hotmail.com,E007,Air Hockey 30 mins,entertainment,9,1,58,109.42,2025,Qtr 3,August,9,T003447,9
Air Hockey,chloe.rodriguez340@hotmail.com,E007,Air Hockey 30 mins,entertainment,9,1,132,87.94,2025,Qtr 3,September,6,T003902,9
Air Hockey,chloe.rodriguez340@hotmail.com,E007,Air Hockey 30 mins,entertainment,9,1,140,93.56,2025,Qtr 4,October,5,T004245,9
Air Hockey,chloe.thompson200@yahoo.com,E007,Air Hockey 30 mins,entertainment,9,1,47,143.19,2025,Qtr 1,January,16,T000987,9
Air Hockey,chloe.zhang109@hotmail.com,E007,Air Hockey 30 mins,entertainment,9,1,90,213.87,2025,Qtr 2,June,15,T002677,9
Air Hockey,chloe.zhang109@hotmail.com,E007,Air Hockey 30 mins,entertainment,9,1,88,154.91,2025,Qtr 2,June,30,T002893,9
Air Hockey,chloe.zhang109@hotmail.com,E007,Air Hockey 30 mins,entertainment,9,1,77,58.47,2025,Qtr 3,September,18,T004019,9
Air Hockey,daniel.gonzalez328@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,40,42.27,2024,Qtr 4,December,23,T000734,9
Air Hockey,daniel.gonzalez328@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,114,65.95,2025,Qtr 3,July,11,T003028,9
Air Hockey,daniel.lin28@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,134,54.45,2024,Qtr 4,November,21,T000275,9
Air Hockey,daniel.lin28@outlook.com,E007,Air Hockey 30 mins,entertainment,9,1,100,142.52,2025,Qtr 2,June,26,T002829,9
Air Hockey,daniel.lopez257@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,142,215.38,2025,Qtr 3,August,14,T003532,9
Air Hockey,daniel.martinez225@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,82,113.43,2025,Qtr 3,September,27,T004134,9
Air Hockey,daniel.taylor190@yahoo.com,E007,Air Hockey 30 mins,entertainment,9,1,109,159.88,2025,Qtr 2,April,22,T001989,9
Air Hockey,daniel.taylor190@yahoo.com,E007,Air Hockey 30 mins,entertainment,18,2,117,154.46,2025,Qtr 3,September,20,T004047,9
Air Hockey,daniel.wong380@hotmail.com,E007,Air Hockey 30 mins,entertainment,9,1,177,85.94,2024,Qtr 4,November,21,T000274,9
Air Hockey,daniel.wong380@hotmail.com,E007,Air Hockey 30 mins,entertainment,9,1,50,13.99,2025,Qtr 2,June,29,T002885,9
Air Hockey,david.anderson336@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,116,92.46,2025,Qtr 3,August,3,T003377,9
Air Hockey,david.anderson336@gmail.com,E007,Air Hockey 30 mins,entertainment,9,1,81,149.92,2025,Qtr 3,August,28,T003739,9
Air Hockey,david.chen436@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,127,70.23,2025,Qtr 2,June,26,T002822,9
Air Hockey,david.chen436@icloud.com,E007,Air Hockey 30 mins,entertainment,9,1,123,104.44,2025,Qtr 3,July,16,T003104,9
