transaction_id,total_bill_amount,email,transaction_date,quantity,time_spent_min,name,phone,loyalty_enrolled,loyalty_id,tier,points_earned,gender,age,birthday,occupation
T000909,70.46,evelyn.white385@outlook.com,5-Jan-25,5,81,Evelyn White,1-365-898-6908,N,,,,,,,
T000915,50.96,daniel.martinez225@gmail.com,6-Jan-25,5,160,Daniel Martinez,1-289-220-2371,N,,,,,,,
T000917,24.06,liam.lam326@yahoo.com,6-Jan-25,5,88,Liam Lam,1-365-182-6977,N,,,,,,,
T000953,56.95,carter.patel6@yahoo.com,12-Jan-25,5,37,Carter Patel,1-905-396-5687,N,,,,,,,
T000970,50.96,sophia.chan181@outlook.com,14-Jan-25,5,83,Sophia Chan,1-905-397-2163,N,,,,,,,
T001011,49.26,mila.patel210@icloud.com,18-Jan-25,5,94,Mila Patel,1-365-295-7353,N,,,,,,,
T001016,60.45,aiden.martinez228@gmail.com,19-Jan-25,5,106,Aiden Martinez,1-365-999-5131,N,,,,,,,
T001051,54.97,hannah.lin411@hotmail.com,23-Jan-25,5,118,Hannah Lin,1-647-352-3377,N,,,,,,,
T001101,44.26,oliver.kowalski251@outlook.com,29-Jan-25,5,89,Oliver Kowalski,1-437-808-1827,N,,,,,,,
T001105,34.95,grace.wang393@hotmail.com,29-Jan-25,5,38,Grace Wang,1-289-202-8561,N,,,,,,,
T001110,94.96,mia.lee54@gmail.com,30-Jan-25,5,58,Mia Lee,1-289-116-5267,N,,,,,,,
T001251,91.95,sophia.kowalski234@outlook.com,14-Feb-25,5,93,Sophia Kowalski,1-365-87-6132,N,,,,,,,
T001258,53.97,oliver.zhang379@yahoo.com,15-Feb-25,5,84,Oliver Zhang,1-437-591-9500,N,,,,,,,
T001316,80.45,noah.chen294@gmail.com,22-Feb-25,5,83,Noah Chen,1-905-579-9162,N,,,,,,,
T001323,36.27,chloe.zhang109@hotmail.com,22-Feb-25,5,99,Chloe Zhang,1-289-607-8677,N,,,,,,,
T001364,57.47,logan.wilson333@yahoo.com,26-Feb-25,5,49,Logan Wilson,1-437-284-8354,N,,,,,,,
T001392,60.75,matthew.kim255@hotmail.com,1-Mar-25,5,73,Matthew Kim,1-647-524-4680,N,,,,,,,
T001400,45.95,aiden.wong178@hotmail.com,2-Mar-25,5,120,Aiden Wong,1-289-798-7012,N,,,,,,,
T001425,93.97,matthew.ivanov407@icloud.com,4-Mar-25,5,66,Matthew Ivanov,1-905-305-2873,N,,,,,,,
T001430,38.25,madison.garcia466@outlook.com,5-Mar-25,5,67,Madison Garcia,1-905-747-6527,N,,,,,,,
T001459,71.27,ella.tremblay402@icloud.com,8-Mar-25,5,73,Ella Tremblay,1-647-21-9550,N,,,,,,,
T001472,36.55,jacob.johnson214@outlook.com,9-Mar-25,5,32,Jacob Johnson,1-647-151-8995,N,,,,,,,
T001477,56.47,jack.khan166@hotmail.com,9-Mar-25,5,72,Jack Khan,1-416-614-4318,N,,,,,,,
T001494,68.48,henry.chow299@outlook.com,10-Mar-25,5,64,Henry Chow,1-416-393-1311,N,,,,,,,
T001504,60.58,samuel.lopez91@icloud.com,11-Mar-25,5,89,Samuel Lopez,1-437-642-8134,N,,,,,,,
T001537,76.96,victoria.anderson404@icloud.com,14-Mar-25,5,71,Victoria Anderson,1-365-516-9503,N,,,,,,,
T001568,85.46,ethan.lopez167@hotmail.com,16-Mar-25,5,121,Ethan Lopez,1-647-751-2141,N,,,,,,,
T001624,75.46,harper.martinez292@yahoo.com,22-Mar-25,5,106,Harper Martinez,1-905-185-6879,N,,,,,,,
T001637,53.45,victoria.anderson404@icloud.com,23-Mar-25,5,98,Victoria Anderson,1-365-516-9503,N,,,,,,,
T001645,36.45,layla.garcia440@hotmail.com,23-Mar-25,5,101,Layla Garcia,1-905-952-4961,N,,,,,,,
T001654,15.25,aria.anderson151@icloud.com,24-Mar-25,5,67,Aria Anderson,1-437-306-3646,N,,,,,,,
T001686,91.48,jacob.patel20@gmail.com,27-Mar-25,5,207,Jacob Patel,1-905-880-6500,N,,,,,,,
T001715,55.96,alexander.patel389@gmail.com,29-Mar-25,5,30,Alexander Patel,1-437-693-4635,N,,,,,,,
T001780,43.95,michael.rodriguez11@gmail.com,4-Apr-25,5,30,Michael Rodriguez,1-437-449-8251,N,,,,,,,
T001781,68.46,samuel.martinez150@outlook.com,4-Apr-25,5,67,Samuel Martinez,1-647-449-5870,N,,,,,,,
T001832,50.98,james.white116@gmail.com,8-Apr-25,5,164,James White,1-416-724-3377,N,,,,,,,
T001839,79.47,benjamin.anderson24@gmail.com,9-Apr-25,5,94,Benjamin Anderson,1-289-840-9550,N,,,,,,,
T001869,43.96,daniel.martinez225@gmail.com,12-Apr-25,5,121,Daniel Martinez,1-289-220-2371,N,,,,,,,
T001893,47.97,matthew.kim255@hotmail.com,14-Apr-25,5,174,Matthew Kim,1-647-524-4680,N,,,,,,,
T001901,80.97,nora.smith2@yahoo.com,14-Apr-25,5,140,Nora Smith,1-365-422-7133,N,,,,,,,
T001920,54.45,ava.smith409@gmail.com,16-Apr-25,5,79,Ava Smith,1-289-553-2841,N,,,,,,,
T002018,55.75,jack.anderson427@hotmail.com,25-Apr-25,5,75,Jack Anderson,1-416-646-253,N,,,,,,,
T002047,50.46,william.macdonald386@gmail.com,27-Apr-25,5,103,William MacDonald,1-416-535-277,N,,,,,,,
T002063,74.46,sofia.thompson155@icloud.com,28-Apr-25,5,146,Sofia Thompson,1-437-362-1743,N,,,,,,,
T002085,59.97,sebastian.su213@yahoo.com,30-Apr-25,5,75,Sebastian Su,1-905-593-7477,N,,,,,,,
T002090,68.45,matthew.thompson330@gmail.com,30-Apr-25,5,174,Matthew Thompson,1-365-429-4759,N,,,,,,,
T002102,40.76,emily.huang297@outlook.com,1-May-25,5,91,Emily Huang,1-647-402-2509,N,,,,,,,
T002175,44.45,michael.singh180@icloud.com,7-May-25,5,74,Michael Singh,1-905-125-2922,N,,,,,,,
T002197,89.97,matthew.ivanov407@icloud.com,9-May-25,5,133,Matthew Ivanov,1-905-305-2873,N,,,,,,,
T002213,39.75,sebastian.su213@yahoo.com,10-May-25,5,82,Sebastian Su,1-905-593-7477,N,,,,,,,
T002257,58.96,sofia.su390@outlook.com,14-May-25,5,86,Sofia Su,1-437-913-7762,N,,,,,,,
T002262,49.95,jackson.tremblay396@yahoo.com,15-May-25,5,65,Jackson Tremblay,1-905-222-6573,N,,,,,,,
T002267,71.96,alexander.martinez100@hotmail.com,15-May-25,5,91,Alexander Martinez,1-437-679-4714,N,,,,,,,
T002283,48.26,harper.nowak5@outlook.com,16-May-25,5,126,Harper Nowak,1-647-322-9661,N,,,,,,,
T002296,50.46,ethan.lam179@icloud.com,17-May-25,5,114,Ethan Lam,1-905-319-3377,N,,,,,,,
T002300,45.26,aiden.macdonald433@outlook.com,17-May-25,5,147,Aiden MacDonald,1-365-915-6173,N,,,,,,,
T002303,86.47,avery.wilson142@gmail.com,17-May-25,5,153,Avery Wilson,1-437-219-6472,N,,,,,,,
T002305,54.97,nora.lopez296@icloud.com,17-May-25,5,98,Nora Lopez,1-416-735-1988,N,,,,,,,
T002307,42.75,michael.singh180@icloud.com,18-May-25,5,93,Michael Singh,1-905-125-2922,N,,,,,,,
T002349,85.77,chloe.chen344@icloud.com,22-May-25,5,193,Chloe Chen,1-289-748-5627,N,,,,,,,
T002357,59.76,chloe.zhang109@hotmail.com,23-May-25,5,103,Chloe Zhang,1-289-607-8677,N,,,,,,,
T002362,25.87,alexander.patel389@gmail.com,23-May-25,5,115,Alexander Patel,1-437-693-4635,N,,,,,,,
T002364,39.95,owen.lin63@outlook.com,24-May-25,5,71,Owen Lin,1-437-722-1115,N,,,,,,,
T002377,58.46,benjamin.patel42@outlook.com,25-May-25,5,99,Benjamin Patel,1-647-810-9674,N,,,,,,,
T002401,47.96,mia.lin430@hotmail.com,27-May-25,5,126,Mia Lin,1-905-187-4041,N,,,,,,,
T002410,76.46,oliver.kowalski251@outlook.com,27-May-25,5,66,Oliver Kowalski,1-437-808-1827,N,,,,,,,
T002412,78.97,benjamin.lam53@gmail.com,27-May-25,5,107,Benjamin Lam,1-365-593-6767,N,,,,,,,
T002416,34.26,sofia.johnson337@hotmail.com,28-May-25,5,139,Sofia Johnson,1-416-144-4405,N,,,,,,,
T002466,56.47,avery.wilson142@gmail.com,1-Jun-25,5,156,Avery Wilson,1-437-219-6472,N,,,,,,,
T002468,57.45,grace.wang393@hotmail.com,1-Jun-25,5,120,Grace Wang,1-289-202-8561,N,,,,,,,
T002469,58.96,ethan.anderson232@hotmail.com,1-Jun-25,5,135,Ethan Anderson,1-437-264-5238,N,,,,,,,
T002485,31.75,matthew.kim255@hotmail.com,2-Jun-25,5,39,Matthew Kim,1-647-524-4680,N,,,,,,,
T002506,57.96,alexander.taylor405@gmail.com,4-Jun-25,5,110,Alexander Taylor,1-647-596-8619,N,,,,,,,
T002543,78.98,sofia.thompson155@icloud.com,8-Jun-25,5,85,Sofia Thompson,1-437-362-1743,N,,,,,,,
T002568,39.45,zoey.white80@hotmail.com,8-Jun-25,5,126,Zoey White,1-365-274-4441,N,,,,,,,
T002586,25.46,elijah.wang23@icloud.com,10-Jun-25,5,103,Elijah Wang,1-416-705-5819,N,,,,,,,
T002590,86.47,aiden.wong178@hotmail.com,10-Jun-25,5,145,Aiden Wong,1-289-798-7012,N,,,,,,,
T002627,93.48,william.ivanov235@hotmail.com,13-Jun-25,5,122,William Ivanov,1-416-455-5984,N,,,,,,,
T002631,41.56,jacob.martin290@yahoo.com,14-Jun-25,5,146,Jacob Martin,1-289-474-3439,N,,,,,,,
T002640,28.97,michael.rodriguez11@gmail.com,14-Jun-25,5,106,Michael Rodriguez,1-437-449-8251,N,,,,,,,
T002648,44.25,matthew.martin413@yahoo.com,14-Jun-25,5,69,Matthew Martin,1-905-900-1940,N,,,,,,,
T002660,80.47,john.white173@yahoo.com,15-Jun-25,5,88,John White,1-289-550-1344,N,,,,,,,
T002669,34.45,emma.su325@yahoo.com,15-Jun-25,5,103,Emma Su,1-647-662-4077,N,,,,,,,
T002674,78.45,mia.lin430@hotmail.com,15-Jun-25,5,73,Mia Lin,1-905-187-4041,N,,,,,,,
T002690,73.96,ella.huang367@outlook.com,16-Jun-25,5,132,Ella Huang,1-365-134-5647,N,,,,,,,
T002728,45.25,emma.tremblay451@icloud.com,19-Jun-25,5,130,Emma Tremblay,1-289-142-3069,N,,,,,,,
T002736,77.95,matthew.kim255@hotmail.com,20-Jun-25,5,48,Matthew Kim,1-647-524-4680,N,,,,,,,
T002757,69.95,layla.nguyen320@yahoo.com,21-Jun-25,5,120,Layla Nguyen,1-437-948-2461,N,,,,,,,
T002771,67.97,david.kim222@gmail.com,22-Jun-25,5,116,David Kim,1-437-128-3837,N,,,,,,,
T002775,50.95,liam.huang425@gmail.com,22-Jun-25,5,106,Liam Huang,1-905-338-8521,N,,,,,,,
T002815,56.77,victoria.anderson404@icloud.com,25-Jun-25,5,126,Victoria Anderson,1-365-516-9503,N,,,,,,,
T002849,37.77,john.gonzalez429@outlook.com,28-Jun-25,5,103,John Gonzalez,1-905-211-5202,N,,,,,,,
T002851,58.95,avery.chow431@icloud.com,28-Jun-25,5,93,Avery Chow,1-365-342-8001,N,,,,,,,
T002863,29.45,emily.huang297@outlook.com,28-Jun-25,5,122,Emily Huang,1-647-402-2509,N,,,,,,,
T002887,70.97,nora.kowalski478@icloud.com,30-Jun-25,5,92,Nora Kowalski,1-647-492-6170,N,,,,,,,
T002915,26.95,avery.wilson142@gmail.com,2-Jul-25,5,116,Avery Wilson,1-437-219-6472,N,,,,,,,
T002923,59.28,riley.thompson188@icloud.com,3-Jul-25,5,137,Riley Thompson,1-905-283-7670,N,,,,,,,
T002927,66.45,matthew.thompson330@gmail.com,3-Jul-25,5,153,Matthew Thompson,1-365-429-4759,N,,,,,,,
T002932,55.96,mia.lin430@hotmail.com,3-Jul-25,5,99,Mia Lin,1-905-187-4041,N,,,,,,,
T002972,48.76,sophia.park387@icloud.com,6-Jul-25,5,186,Sophia Park,1-647-128-1178,N,,,,,,,
T003007,55.96,madison.roy419@icloud.com,9-Jul-25,5,104,Madison Roy,1-437-315-2572,N,,,,,,,
T003016,61.48,zoey.roy215@gmail.com,10-Jul-25,5,147,Zoey Roy,1-416-482-7053,N,,,,,,,
T003045,36.06,zoey.white80@hotmail.com,12-Jul-25,5,149,Zoey White,1-365-274-4441,N,,,,,,,
T003056,57.97,samuel.park304@yahoo.com,12-Jul-25,5,149,Samuel Park,1-905-435-1486,N,,,,,,,
T003058,85.47,mila.patel210@icloud.com,12-Jul-25,5,145,Mila Patel,1-365-295-7353,N,,,,,,,
T003059,18.35,alexander.taylor405@gmail.com,12-Jul-25,5,66,Alexander Taylor,1-647-596-8619,N,,,,,,,
T003149,47.97,michael.johnson307@icloud.com,19-Jul-25,5,117,Michael Johnson,1-905-112-1677,N,,,,,,,
T003179,92.46,jacob.li446@hotmail.com,21-Jul-25,5,112,Jacob Li,1-437-743-1909,N,,,,,,,
T003202,84.97,riley.taylor465@yahoo.com,23-Jul-25,5,112,Riley Taylor,1-647-556-5599,N,,,,,,,
T003317,46.96,aiden.wong178@hotmail.com,30-Jul-25,5,58,Aiden Wong,1-289-798-7012,N,,,,,,,
T003330,57.95,joseph.chan456@yahoo.com,31-Jul-25,5,104,Joseph Chan,1-289-137-2895,N,,,,,,,
T003376,55.46,samuel.park304@yahoo.com,3-Aug-25,5,54,Samuel Park,1-905-435-1486,N,,,,,,,
T003496,76.28,owen.wang410@outlook.com,11-Aug-25,5,116,Owen Wang,1-437-843-2674,N,,,,,,,
T003541,46.47,avery.chow431@icloud.com,14-Aug-25,5,107,Avery Chow,1-365-342-8001,N,,,,,,,
T003584,68.95,william.ivanov235@hotmail.com,17-Aug-25,5,101,William Ivanov,1-416-455-5984,N,,,,,,,
T003608,76.97,lucas.ivanov44@yahoo.com,19-Aug-25,5,86,Lucas Ivanov,1-647-864-5911,N,,,,,,,
T003619,59.97,riley.martinez439@outlook.com,20-Aug-25,5,94,Riley Martinez,1-647-226-1806,N,,,,,,,
T003620,35.85,aria.garcia13@hotmail.com,20-Aug-25,5,114,Aria Garcia,1-416-139-8225,N,,,,,,,
T003644,28.25,nora.martin462@outlook.com,22-Aug-25,5,121,Nora Martin,1-289-788-7065,N,,,,,,,
T003655,41.97,henry.chow299@outlook.com,23-Aug-25,5,73,Henry Chow,1-416-393-1311,N,,,,,,,
T003662,71.95,chloe.thompson200@yahoo.com,23-Aug-25,5,104,Chloe Thompson,1-416-794-7432,N,,,,,,,
T003675,63.98,nora.lopez296@icloud.com,24-Aug-25,5,86,Nora Lopez,1-416-735-1988,N,,,,,,,
T003688,44.46,nora.kowalski478@icloud.com,24-Aug-25,5,91,Nora Kowalski,1-647-492-6170,N,,,,,,,
T003714,80.96,matthew.thompson330@gmail.com,26-Aug-25,5,162,Matthew Thompson,1-365-429-4759,N,,,,,,,
T003737,63.77,avery.chow431@icloud.com,27-Aug-25,5,127,Avery Chow,1-365-342-8001,N,,,,,,,
T003757,63.97,ava.smith409@gmail.com,29-Aug-25,5,112,Ava Smith,1-289-553-2841,N,,,,,,,
T003896,65.96,daniel.taylor190@yahoo.com,6-Sep-25,5,42,Daniel Taylor,1-647-490-3423,N,,,,,,,
T003908,41.76,zoey.roy215@gmail.com,7-Sep-25,5,37,Zoey Roy,1-416-482-7053,N,,,,,,,
T003917,37.25,madison.white459@icloud.com,7-Sep-25,5,78,Madison White,1-437-361-5081,N,,,,,,,
T003930,75.46,harper.nowak5@outlook.com,9-Sep-25,5,151,Harper Nowak,1-647-322-9661,N,,,,,,,
T003946,48.25,mia.lam18@hotmail.com,10-Sep-25,5,100,Mia Lam,1-647-630-4806,N,,,,,,,
T003949,55.95,daniel.gonzalez328@icloud.com,10-Sep-25,5,42,Daniel Gonzalez,1-365-526-4323,N,,,,,,,
T003951,33.06,nora.martin462@outlook.com,10-Sep-25,5,37,Nora Martin,1-289-788-7065,N,,,,,,,
T003961,39.45,aria.anderson151@icloud.com,12-Sep-25,5,30,Aria Anderson,1-437-306-3646,N,,,,,,,
T003985,45.96,aiden.martinez228@gmail.com,14-Sep-25,5,113,Aiden Martinez,1-365-999-5131,N,,,,,,,
T004007,78.96,mia.lam18@hotmail.com,16-Sep-25,5,69,Mia Lam,1-647-630-4806,N,,,,,,,
T004019,58.47,chloe.zhang109@hotmail.com,18-Sep-25,5,77,Chloe Zhang,1-289-607-8677,N,,,,,,,
T004055,68.46,logan.wilson333@yahoo.com,21-Sep-25,5,107,Logan Wilson,1-437-284-8354,N,,,,,,,
T004079,42.46,ethan.lam179@icloud.com,23-Sep-25,5,51,Ethan Lam,1-905-319-3377,N,,,,,,,
T004102,41.45,ethan.anderson232@hotmail.com,24-Sep-25,5,100,Ethan Anderson,1-437-264-5238,N,,,,,,,
T004163,51.76,zoey.white80@hotmail.com,29-Sep-25,5,94,Zoey White,1-365-274-4441,N,,,,,,,
T004178,58.96,jacob.patel20@gmail.com,30-Sep-25,5,73,Jacob Patel,1-905-880-6500,N,,,,,,,
T004195,44.95,benjamin.anderson24@gmail.com,2-Oct-25,5,141,Benjamin Anderson,1-289-840-9550,N,,,,,,,
T004224,33.96,jack.anderson427@hotmail.com,4-Oct-25,5,120,Jack Anderson,1-416-646-253,N,,,,,,,
T004234,66.95,alexander.patel389@gmail.com,5-Oct-25,5,74,Alexander Patel,1-437-693-4635,N,,,,,,,
T004244,78.97,elijah.lam319@outlook.com,5-Oct-25,5,117,Elijah Lam,1-437-83-2460,N,,,,,,,
T004274,28.96,matthew.thompson330@gmail.com,8-Oct-25,5,157,Matthew Thompson,1-365-429-4759,N,,,,,,,
T004319,42.95,elijah.wang23@icloud.com,12-Oct-25,5,80,Elijah Wang,1-416-705-5819,N,,,,,,,
T004322,74.77,nora.kowalski478@icloud.com,12-Oct-25,5,102,Nora Kowalski,1-647-492-6170,N,,,,,,,
T004422,38.46,sophia.nguyen104@outlook.com,22-Oct-25,5,95,Sophia Nguyen,1-647-752-9957,N,,,,,,,
T004435,42.85,madison.garcia466@outlook.com,24-Oct-25,5,98,Madison Garcia,1-905-747-6527,N,,,,,,,
T000024,46.46,jacob.li446@hotmail.com,30-Oct-24,4,30,Jacob Li,1-437-743-1909,N,,,,,,,
T000037,46.47,lily.zhang158@outlook.com,31-Oct-24,4,70,Lily Zhang,1-647-796-7512,N,,,,,,,
T000063,52.47,emma.tremblay451@icloud.com,3-Nov-24,4,88,Emma Tremblay,1-289-142-3069,N,,,,,,,
T000065,26.96,owen.brown121@hotmail.com,3-Nov-24,4,89,Owen Brown,1-416-855-7410,N,,,,,,,
T000078,53.96,emma.tremblay451@icloud.com,4-Nov-24,4,51,Emma Tremblay,1-289-142-3069,N,,,,,,,
T000097,44.78,jack.brown341@yahoo.com,6-Nov-24,4,151,Jack Brown,1-647-717-5136,N,,,,,,,
T000102,41.46,emma.chan169@icloud.com,6-Nov-24,4,84,Emma Chan,1-905-430-9592,N,,,,,,,
T000165,32.48,layla.lin370@yahoo.com,10-Nov-24,4,111,Layla Lin,1-365-635-7660,N,,,,,,,
T000201,27.07,mila.taylor12@outlook.com,14-Nov-24,4,116,Mila Taylor,1-365-513-1999,N,,,,,,,
T000222,30.27,michael.liu103@gmail.com,16-Nov-24,4,58,Michael Liu,1-416-721-5072,N,,,,,,,
T000266,24.97,chloe.roy274@outlook.com,20-Nov-24,4,157,Chloe Roy,1-365-964-5081,N,,,,,,,
T000319,43.97,jackson.thompson161@icloud.com,24-Nov-24,4,114,Jackson Thompson,1-365-571-5885,N,,,,,,,
T000348,26.96,ava.smith409@gmail.com,28-Nov-24,4,137,Ava Smith,1-289-553-2841,N,,,,,,,
T000373,55.27,layla.lin370@yahoo.com,30-Nov-24,4,112,Layla Lin,1-365-635-7660,N,,,,,,,
T000387,49.46,samuel.park304@yahoo.com,1-Dec-24,4,80,Samuel Park,1-905-435-1486,N,,,,,,,
T000428,34.96,elijah.singh52@hotmail.com,3-Dec-24,4,97,Elijah Singh,1-437-237-3782,N,,,,,,,
T000446,48.97,joseph.chan456@yahoo.com,4-Dec-24,4,89,Joseph Chan,1-289-137-2895,N,,,,,,,
T000506,48.26,james.khan240@gmail.com,8-Dec-24,4,45,James Khan,1-365-186-6192,N,,,,,,,
T000527,43.26,ethan.anderson232@hotmail.com,9-Dec-24,4,81,Ethan Anderson,1-437-264-5238,N,,,,,,,
T000534,42.47,benjamin.thompson245@outlook.com,10-Dec-24,4,63,Benjamin Thompson,1-416-213-1355,N,,,,,,,
T000536,59.97,aiden.macdonald433@outlook.com,10-Dec-24,4,96,Aiden MacDonald,1-365-915-6173,N,,,,,,,
T000555,51.77,alexander.taylor405@gmail.com,11-Dec-24,4,94,Alexander Taylor,1-647-596-8619,N,,,,,,,
T000605,27.46,james.kowalski157@yahoo.com,14-Dec-24,4,80,James Kowalski,1-365-406-8330,N,,,,,,,
T000619,96.47,matthew.thompson330@gmail.com,15-Dec-24,4,148,Matthew Thompson,1-365-429-4759,N,,,,,,,
T000684,45.47,layla.garcia440@hotmail.com,20-Dec-24,4,71,Layla Garcia,1-905-952-4961,N,,,,,,,
T000695,39.48,aria.garcia364@icloud.com,21-Dec-24,4,38,Aria Garcia,1-905-466-2332,N,,,,,,,
T000700,64.49,wyatt.li279@yahoo.com,21-Dec-24,4,66,Wyatt Li,1-905-399-7757,N,,,,,,,
T000754,64.47,sophia.chan181@outlook.com,24-Dec-24,4,106,Sophia Chan,1-905-397-2163,N,,,,,,,
T000771,40.96,victoria.martin295@yahoo.com,26-Dec-24,4,148,Victoria Martin,1-289-873-8815,N,,,,,,,
T000778,51.96,riley.thompson188@icloud.com,26-Dec-24,4,155,Riley Thompson,1-905-283-7670,N,,,,,,,
T000782,32.47,charlotte.thompson492@icloud.com,27-Dec-24,4,122,Charlotte Thompson,1-289-461-3412,N,,,,,,,
T000794,52.96,sophia.white264@hotmail.com,27-Dec-24,4,73,Sophia White,1-289-680-1753,N,,,,,,,
T000809,45.77,layla.lam324@icloud.com,28-Dec-24,4,123,Layla Lam,1-289-318-7623,N,,,,,,,
T000846,75.98,james.white31@icloud.com,30-Dec-24,4,116,James White,1-416-851-1387,N,,,,,,,
T000849,69.98,nora.lopez296@icloud.com,30-Dec-24,4,129,Nora Lopez,1-416-735-1988,N,,,,,,,
T000850,24.26,amelia.rodriguez86@icloud.com,30-Dec-24,4,30,Amelia Rodriguez,1-365-303-6596,N,,,,,,,
T000905,54.98,samuel.martinez420@icloud.com,5-Jan-25,4,120,Samuel Martinez,1-905-779-4450,N,,,,,,,
T000925,85.97,daniel.gonzalez328@icloud.com,8-Jan-25,4,143,Daniel Gonzalez,1-365-526-4323,N,,,,,,,
T000952,23.98,david.kim222@gmail.com,12-Jan-25,4,64,David Kim,1-437-128-3837,N,,,,,,,
